skz,name,street,zip,city,phone,email,website,principal,school_type
3459,Neue Mittelschule Wien,Schweglerstraße 2-4,1150,Wien,01/926149,,www.sirkarlpopperschule.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3519,Volksschule Wien,Dunantgasse 2,1210,Wien,01/381395,,21.wiener-bezirk.at/schulen/henri.dunant/gasse.html,,"Volksschule, Grundbildung"
3543,Volksschule Wien,Selma-Lagerlöf-Gasse 20,1100,Wien,01/6882366,,www.schulen.wien.at/schulen/910181,,"Volksschule, Grundbildung"
3669,2e Neue Mittelschule der Evangelischen Schulgemeinde Wien Wien,Karlsplatz 14,1040,Wien,01/5059634,,www.ekms.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3671,Akademisches Gymnasium Wien,Beethovenplatz 1,1010,Wien,01/7131352,,www.akg-wien.at,,AHS
3686,Berufsschule für Elektrotechnik und Mechatronik Wien,Mollardgasse 87,1060,Wien,01/59916/95661,,www.bs-elektrotechnik1.at.tf,,"Berufsschule, Sekundarbildung Oberstufe"
3699,Bundesbildungsanstalt für Kindergartenpädagogik Wien,Ettenreichgasse 45c,1100,Wien,01/6048154-11,,www.bakip10.schule.at,,"LMS und LHS, Sekundarbildung Oberstufe"
3821,Neue Mittelschule Wien,Selzergasse 25,1150,Wien,01/9825293,,www.fhs15-selzergasse.ac.at,,"Neue Mittelschule, Hauptschule, Sekundarbildung Unterstufe"
3828,Berufsschule für Informationstechnik Wien,Mollardgasse 87,1060,Wien,01/59916-95631,,www.bsit.at,,"Berufsschule, Sekundarbildung Oberstufe"
3848,Volksschule Wien,Bischoffgasse 10,1120,Wien,01/8158183,,www.vs-bischoffgasse.at,,"Volksschule, Grundbildung"
3862,Neue Mittelschule Wien,Herthergasse 28,1120,Wien,01/8139562,,www.herthergasse.com,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3882,Allgemeine Sonderschule Wien,Petrusgasse 10,1030,Wien,01/7122553,,www.schulen.wien.at/schulen/903023,,"Sonderschule, Sonderschule, Sekundarbildung Unterstufe, Grundbildung"
3949,Neue Mittelschule Wien,Grundsteingasse 48,1160,Wien,01/4060108,,grundsteingasse.schule.wien.at,,"Neue Mittelschule, Sekundarbildung Unterstufe"
3954,Volksschule Wien,Schrebergasse 39,1225,Wien,01/2825212,,www.schulen.wien.at/schulen/922131,,"Volksschule, Grundbildung"
3987,"Bundesgymnasium, Bundesrealgymnasium und Bundesoberstufenrealgymnasium Wien",Heustadelgasse 4,1220,Wien,01/2858112,,www.heustadelgasse.at,,AHS
4029,Bundesrealgymnasium Wien,Marchettigasse 3,1060,Wien,01/5976538,,www.marchettigasse.at,,AHS
4056,Berufsschule für Bürokaufleute Wien,Meiselstraße 19,1150,Wien,01/59916/95585,,www.bsbk.at,,"Berufsschule, Sekundarbildung Oberstufe"
